term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2014,70601,AC 0204,A,3.000,Intermediate Accounting II,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 104'}]",['M 0630pm-0900pm 09/02-12/08 DSB 104'],Stephen E.  Yost,Stephen E.  Yost (P),10,12,-2
Fall2014,70360,AC 0204,AAA,3.000,Intermediate Accounting II,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 104'}]",['M 0630pm-0900pm 09/02-12/08 DSB 104'],Stephen E.  Yost,Stephen E.  Yost (P),10,1,9
Fall2014,71437,AC 0310,A,3.000,Advanced Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'DSB 112'}]",['MR 0930am-1045am 09/02-12/08 DSB 112'],Ahmed M.  Ebrahim,Ahmed M.  Ebrahim (P),24,27,-3
Fall2014,71439,AC 0320,A,3.000,Cost Management,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 108'}]",['T 0630pm-0900pm 09/02-12/08 DSB 108'],Bruce   Bradford,Bruce   Bradford (P),10,15,-5
Fall2014,70797,AC 0320,AAA,3.000,Cost Management,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 108'}]",['T 0630pm-0900pm 09/02-12/08 DSB 108'],Bruce   Bradford,Bruce   Bradford (P),10,6,4
Fall2014,70307,AC 0320,B,3.000,Cost Management,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['TF 0200pm-0315pm 09/02-12/08 DSB 111'],Bruce   Bradford,Bruce   Bradford (P),28,27,1
Fall2014,70283,AC 0330,A,3.000,Auditing,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['MR 0200pm-0315pm 09/02-12/08 DSB 111'],Paul   Caster,Paul   Caster (P),25,28,-3
Fall2014,72064,AC 0330,B,3.000,Auditing,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['MR 0330pm-0445pm 09/02-12/08 DSB 111'],Paul   Caster,Paul   Caster (P),25,23,2
Fall2014,71120,AC 0343,A,3.000,Federal Income Taxation I,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 104'}]",['W 0630pm-0900pm 09/02-12/08 DSB 104'],Kathi M.  Mettler,Kathi M.  Mettler (P),10,16,-6
Fall2014,70940,AC 0343,AAA,3.000,Federal Income Taxation I,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 104'}]",['W 0630pm-0900pm 09/02-12/08 DSB 104'],Kathi M.  Mettler,Kathi M.  Mettler (P),10,7,3
Fall2014,70072,AC 0343,B,3.000,Federal Income Taxation I,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['W 1100am-0130pm 09/02-12/08 DSB 111'],Kathi M.  Mettler,Kathi M.  Mettler (P),28,29,-1
Fall2014,71107,AC 0380,A,3.000,Municipal and Not-for-Profit Accounting,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 109'}]",['M 0630pm-0900pm 09/02-12/08 DSB 109'],Scott M  Brenner,Scott M  Brenner (P),15,8,7
